second,bot,staleness_ms_p50,staleness_ms_p95,staleness_ms_max,recv_rate,send_rate
192,botB,0.398,0.952,1.954,38,36
193,botA,0.375,0.867,0.962,36,36
193,botB,0.516,1.661,1.724,36,36
194,botA,0.28,1.051,1.587,36,36
194,botB,0.473,1.284,2.002,36,36
195,botA,0.218,0.605,1.384,36,36
195,botB,0.267,0.723,1.624,36,36
196,botA,0.249,0.89,1.633,36,36
196,botB,0.259,0.914,1.828,36,36
197,botA,0.271,0.336,0.355,36,36
197,botB,0.287,1.532,1.774,36,36
198,botA,0.231,0.617,1.566,36,36
198,botB,0.251,0.646,1.691,36,36
199,botA,0.3,1.489,1.552,36,36
199,botB,0.289,0.436,0.566,36,36
200,botA,0.258,0.926,1.436,36,36
200,botB,0.299,0.841,1.64,36,36
201,botA,0.263,0.887,1.743,36,36
201,botB,0.3,0.698,1.539,36,36
202,botA,0.347,0.872,2.012,36,36
202,botB,0.366,1.16,1.758,36,36
203,botA,0.362,1.102,1.768,36,36
203,botB,0.472,1.058,1.914,36,36
204,botA,0.269,1.554,1.701,36,36
204,botB,0.294,0.439,0.617,36,36
205,botA,0.2,0.288,0.3,36,36
205,botB,0.262,1.684,1.703,36,36
206,botA,0.24,0.671,1.617,36,36
206,botB,0.281,0.502,0.837,34,36
207,botA,0.23,0.749,1.846,36,36
207,botB,0.278,0.568,1.609,38,36
208,botA,0.371,1.673,1.804,36,36
208,botB,0.439,0.824,0.832,36,36
209,botA,0.271,0.742,1.506,36,36
209,botB,0.302,0.81,1.766,36,36
210,botA,0.205,0.924,1.478,36,36
210,botB,0.261,0.722,1.576,36,36
211,botA,0.268,0.813,1.647,36,36
211,botB,0.337,1.037,1.739,36,36
212,botA,0.255,0.329,0.335,36,36
212,botB,0.292,1.533,1.539,36,36
213,botA,0.242,1.408,1.734,36,36
213,botB,0.222,0.979,2.151,36,36
214,botA,0.181,0.649,1.564,36,36
214,botB,0.234,0.829,1.645,36,36
215,botA,0.241,0.73,1.626,36,36
215,botB,0.268,0.732,1.551,36,36
216,botA,0.27,0.463,0.534,36,36
